subject,sessionIndex,rep,H.period,H.t,H.i,H.e,H.five,H.Shift.r,H.o,H.a,H.n,H.l,H.Return
s002,1,40,0.1161,0.0755,0.09,0.08,0.0713,0.1204,0.0842,0.1388,0.0766,0.0821,0.0792
s002,1,41,0.0945,0.0818,0.0715,0.085,0.0879,0.1273,0.0942,0.1336,0.0813,0.0979,0.076
s002,1,42,0.0993,0.0779,0.0692,0.094,0.0818,0.1197,0.0876,0.133,0.0834,0.0982,0.0803
s002,1,43,0.1154,0.0834,0.0776,0.0961,0.0853,0.1122,0.089,0.146,0.1003,0.109,0.1048
s002,1,44,0.1209,0.0768,0.0797,0.0882,0.0657,0.1458,0.0747,0.1064,0.1146,0.1074,0.0586
s002,1,45,0.1043,0.0971,0.0979,0.0803,0.099,0.119,0.0855,0.1407,0.09,0.1003,0.0768
s002,1,46,0.1138,0.071,0.0974,0.0855,0.0689,0.1236,0.0985,0.1185,0.08,0.0979,0.0887
s002,1,47,0.1446,0.0911,0.0934,0.0808,0.0964,0.1162,0.0924,0.1351,0.0842,0.0842,0.0776
s002,1,48,0.0776,0.0998,0.0892,0.0684,0.0839,0.1157,0.0913,0.1095,0.0779,0.0942,0.0839
s002,1,49,0.1029,0.0774,0.0845,0.09,0.099,0.122,0.0934,0.1338,0.0747,0.085,0.0913
s002,1,50,0.1217,0.0842,0.0821,0.0995,0.08,0.1209,0.0985,0.1446,0.0795,0.0956,0.0945
s002,2,1,0.1446,0.0803,0.1183,0.0942,0.0742,0.1175,0.1275,0.1325,0.0929,0.1386,0.0866
s002,2,2,0.109,0.0652,0.0755,0.0818,0.076,0.1003,0.1077,0.1003,0.076,0.0979,0.0721
s002,2,3,0.0977,0.0869,0.0816,0.0702,0.066,0.1396,0.0818,0.0874,0.0747,0.0869,0.0697
s002,2,4,0.0977,0.0758,0.0702,0.0723,0.0689,0.1235,0.1243,0.1188,0.0713,0.0932,0.0744
s002,2,5,0.1056,0.0821,0.07,0.065,0.081,0.0964,0.0705,0.1045,0.0774,0.0945,0.0797
s002,2,6,0.0911,0.0821,0.0684,0.0697,0.0715,0.1101,0.0879,0.1077,0.0726,0.0964,0.0855
s002,2,7,0.0855,0.0731,0.0808,0.0715,0.0898,0.1024,0.0861,0.0882,0.0673,0.0816,0.0763
s002,2,8,0.0958,0.0892,0.07,0.0784,0.0826,0.1104,0.085,0.1061,0.07,0.1109,0.085
s002,2,9,0.113,0.0842,0.0581,0.0787,0.0876,0.1014,0.0863,0.1059,0.0705,0.1022,0.0781
s002,2,10,0.0995,0.0805,0.0602,0.071,0.0766,0.1149,0.0657,0.1177,0.1314,0.0874,0.0578
s002,2,11,0.1198,0.0755,0.0726,0.0729,0.0824,0.0998,0.0797,0.1148,0.0874,0.089,0.0866
s002,2,12,0.1098,0.0826,0.0702,0.0737,0.0602,0.103,0.0444,0.1359,0.0705,0.0832,0.0781
s002,2,13,0.1106,0.0876,0.0839,0.0739,0.0726,0.0971,0.0847,0.1296,0.0697,0.0774,0.0657
s002,2,14,0.1077,0.0766,0.0607,0.0824,0.0855,0.1075,0.0916,0.0964,0.0626,0.0903,0.0876
s002,2,15,0.1106,0.0853,0.057,0.0964,0.0874,0.1154,0.1019,0.1262,0.0721,0.0829,0.0708
s002,2,16,0.1016,0.0837,0.0684,0.0797,0.0792,0.1069,0.0974,0.1114,0.0708,0.0813,0.0919
s002,2,17,0.1122,0.0829,0.0697,0.0895,0.0887,0.1268,0.1043,0.1206,0.0673,0.0977,0.0776
s002,2,18,0.1016,0.0816,0.0723,0.0971,0.0692,0.1136,0.1064,0.1204,0.0824,0.0863,0.0805
s002,2,19,0.0927,0.0787,0.075,0.0847,0.0834,0.1088,0.0932,0.1135,0.0634,0.0964,0.1029
s002,2,20,0.1106,0.0821,0.0731,0.0853,0.0642,0.1194,0.1003,0.133,0.0642,0.0993,0.0668
s002,2,21,0.1093,0.0668,0.0671,0.0871,0.0726,0.1122,0.0808,0.1169,0.0644,0.0855,0.0776
s002,2,22,0.1172,0.0737,0.0803,0.0816,0.085,0.1051,0.0895,0.1098,0.0657,0.0874,0.0834
s002,2,23,0.1056,0.094,0.0694,0.0789,0.0818,0.1056,0.0913,0.1043,0.0713,0.0982,0.0842
s002,2,24,0.0948,0.0948,0.0697,0.0818,0.0679,0.1167,0.1027,0.1072,0.0686,0.0937,0.0797
s002,2,25,0.1074,0.0871,0.0713,0.0863,0.0834,0.0988,0.0924,0.1016,0.0668,0.0858,0.0884
s002,2,26,0.0982,0.0934,0.0657,0.0882,0.0834,0.0975,0.0937,0.1035,0.0692,0.0982,0.1301
s002,2,27,0.1148,0.0784,0.0642,0.0766,0.0832,0.1064,0.095,0.1074,0.0734,0.1093,0.08
s002,2,28,0.1301,0.0824,0.0779,0.0892,0.0663,0.1175,0.1066,0.0929,0.0723,0.0971,0.0824
s002,2,29,0.1109,0.0905,0.0771,0.0871,0.0734,0.119,0.0982,0.1072,0.065,0.095,0.085
s002,2,30,0.0964,0.0752,0.0729,0.0863,0.0982,0.0888,0.0903,0.1098,0.0657,0.0969,0.1016
s002,2,31,0.1333,0.0911,0.0694,0.0958,0.0982,0.1009,0.1035,0.1043,0.0678,0.0966,0.0774
s002,2,32,0.1043,0.0948,0.076,0.0805,0.0718,0.1177,0.0924,0.1061,0.0652,0.0924,0.0908
s002,2,33,0.1032,0.0845,0.0744,0.0903,0.0808,0.0982,0.0813,0.1127,0.0665,0.0937,0.0787
s002,2,34,0.1106,0.0829,0.0689,0.0948,0.0934,0.1138,0.1019,0.1101,0.0657,0.0932,0.0879
s002,2,35,0.1059,0.0892,0.076,0.0937,0.0737,0.1099,0.0858,0.1132,0.075,0.1,0.0929
s002,2,36,0.1045,0.0895,0.0729,0.0995,0.1122,0.1172,0.0985,0.1228,0.0743,0.1124,0.0837
s002,2,37,0.108,0.0839,0.0739,0.0945,0.0591,0.1188,0.1109,0.1185,0.0692,0.0853,0.0913
s002,2,38,0.0979,0.0771,0.0771,0.0927,0.094,0.123,0.0855,0.1463,0.0666,0.0929,0.0948
s002,2,39,0.1051,0.0853,0.0663,0.0816,0.0718,0.0985,0.0816,0.1185,0.07,0.0908,0.0932
s002,2,40,0.1095,0.0876,0.0731,0.09,0.0879,0.1128,0.0866,0.1045,0.0628,0.0818,0.076
s002,2,41,0.1127,0.0803,0.0628,0.0866,0.0834,0.1128,0.0905,0.0985,0.0705,0.094,0.0734
s002,2,42,0.1172,0.0892,0.0934,0.0987,0.0839,0.1025,0.0657,0.1106,0.0697,0.0929,0.081
s002,2,43,0.1069,0.0808,0.0774,0.0979,0.0826,0.1082,0.0829,0.1183,0.0569,0.089,0.0816
s002,2,44,0.0948,0.0797,0.0744,0.0874,0.0803,0.113,0.0763,0.1193,0.0686,0.0789,0.0837
s002,2,45,0.1016,0.0787,0.0686,0.089,0.0771,0.1138,0.0845,0.1066,0.0652,0.0842,0.0766
s002,2,46,0.108,0.0932,0.0771,0.0884,0.0895,0.1122,0.089,0.118,0.0708,0.0826,0.0755
s002,2,47,0.1053,0.0839,0.0718,0.0942,0.0876,0.1239,0.0726,0.122,0.0723,0.0723,0.0942
s002,2,48,0.1059,0.0913,0.0718,0.0861,0.0913,0.1027,0.0876,0.0942,0.0686,0.0715,0.1069
s002,2,49,0.1262,0.0934,0.0721,0.0911,0.085,0.1175,0.0895,0.1146,0.0639,0.0871,0.0821
s002,2,50,0.1048,0.0903,0.0771,0.0934,0.0884,0.1106,0.0964,0.1301,0.0644,0.081,0.0797
s002,3,1,0.1138,0.0855,0.0942,0.0795,0.0705,0.1035,0.0689,0.114,0.085,0.0919,0.0729
s002,3,2,0.1098,0.0726,0.0673,0.075,0.0789,0.1132,0.0818,0.1064,0.0747,0.0882,0.0721
s002,3,3,0.1103,0.0668,0.0568,0.0723,0.0744,0.098,0.1032,0.1225,0.066,0.0731,0.0958
s002,3,4,0.104,0.071,0.0626,0.0665,0.0747,0.0842,0.0708,0.0945,0.0607,0.0771,0.0589
s002,3,5,0.109,0.076,0.0618,0.0715,0.0705,0.1075,0.0919,0.1156,0.0813,0.0784,0.0679
s002,3,6,0.1296,0.0797,0.0639,0.0816,0.0805,0.0988,0.081,0.0982,0.0737,0.0797,0.0744
s002,3,7,0.0998,0.0789,0.0628,0.085,0.0647,0.107,0.0853,0.1209,0.0824,0.0921,0.0713
s002,3,8,0.0927,0.0752,0.071,0.0789,0.08,0.0982,0.0789,0.0969,0.0549,0.081,0.061
s002,3,9,0.1003,0.0858,0.0671,0.08,0.0916,0.0996,0.0853,0.1375,0.0905,0.1035,0.0985
s002,3,10,0.0647,0.0803,0.0602,0.075,0.0874,0.0913,0.0845,0.1001,0.0734,0.0964,0.0766
s002,3,11,0.0969,0.0911,0.071,0.0755,0.0708,0.1069,0.0842,0.0964,0.0608,0.0829,0.0681
s002,3,12,0.0927,0.0808,0.0602,0.0755,0.0908,0.1096,0.0898,0.1096,0.0766,0.0884,0.0705
s002,3,13,0.0995,0.0911,0.0605,0.08,0.0723,0.1024,0.132,0.1219,0.075,0.0853,0.0784
s002,3,14,0.1103,0.0779,0.0737,0.0945,0.0803,0.0908,0.09,0.1115,0.0721,0.0934,0.0618
s002,3,15,0.1541,0.0768,0.0718,0.0792,0.0689,0.0877,0.0789,0.0974,0.0768,0.0934,0.0987
s002,3,16,0.1117,0.0834,0.0694,0.0979,0.1048,0.0814,0.0766,0.0993,0.0753,0.0908,0.0469
s002,3,17,0.1204,0.081,0.0774,0.0858,0.0808,0.0916,0.0671,0.1175,0.085,0.0871,0.0731
s002,3,18,0.0964,0.0908,0.0642,0.0895,0.0879,0.1119,0.0908,0.1022,0.0882,0.0842,0.1227
s002,3,19,0.1209,0.0934,0.0808,0.0774,0.0948,0.1151,0.0884,0.1143,0.085,0.08,0.0882
s002,3,20,0.1029,0.0824,0.0639,0.095,0.0945,0.1086,0.1027,0.1417,0.0747,0.104,0.0982
s002,3,21,0.1082,0.0766,0.0686,0.1014,0.0752,0.1044,0.0858,0.1038,0.0774,0.1008,0.0913
s002,3,22,0.0985,0.0715,0.0636,0.1056,0.081,0.0919,0.0797,0.098,0.0676,0.0887,0.0903
s002,3,23,0.0982,0.076,0.071,0.09,0.0882,0.1041,0.0805,0.108,0.0724,0.0829,0.0642
s002,3,24,0.0921,0.0927,0.0771,0.0871,0.0742,0.0858,0.0789,0.1014,0.0716,0.0932,0.0879
s002,3,25,0.1072,0.0787,0.0694,0.0898,0.0734,0.0956,0.0779,0.1069,0.0676,0.1006,0.0964
s002,3,26,0.1117,0.0816,0.0742,0.0869,0.0781,0.1028,0.0824,0.1083,0.0685,0.0937,0.0776
s002,3,27,0.0948,0.0676,0.0763,0.0774,0.0977,0.0877,0.0813,0.113,0.0811,0.0927,0.081
s002,3,28,0.0961,0.0898,0.0679,0.0874,0.1074,0.0911,0.0816,0.1096,0.0702,0.109,0.0839
s002,3,29,0.0805,0.0829,0.0695,0.0871,0.09,0.1083,0.0845,0.1283,0.0805,0.0969,0.0855
s002,3,30,0.095,0.0971,0.0647,0.095,0.094,0.1074,0.0887,0.1135,0.0737,0.0866,0.0774
s002,3,31,0.0871,0.0839,0.075,0.0927,0.1011,0.0877,0.0913,0.1169,0.0982,0.0932,0.0829
s002,3,32,0.0953,0.1051,0.0718,0.0789,0.1008,0.0985,0.081,0.1215,0.0703,0.0874,0.0929
s002,3,33,0.1051,0.0932,0.0697,0.0898,0.0826,0.0758,0.08,0.1095,0.0763,0.0879,0.0742
s002,3,34,0.1074,0.0824,0.0718,0.1008,0.0956,0.1117,0.0887,0.1183,0.0702,0.0964,0.0787
s002,3,35,0.0924,0.081,0.0702,0.0863,0.1053,0.1162,0.0869,0.1328,0.102,0.0974,0.0591
s002,3,36,0.1011,0.0961,0.062,0.1198,0.0866,0.0822,0.0816,0.1131,0.0415,0.0971,0.0747
s002,3,37,0.0731,0.0882,0.0887,0.0998,0.0768,0.0903,0.0961,0.113,0.074,0.1103,0.0993
s002,3,38,0.1,0.0829,0.0858,0.0966,0.0948,0.1305,0.0866,0.1027,0.0737,0.0916,0.0803
s002,3,39,0.133,0.0805,0.0631,0.0961,0.0929,0.0946,0.0813,0.1202,0.0753,0.0858,0.0657
s002,3,40,0.0898,0.0861,0.0676,0.0927,0.0781,0.1004,0.0964,0.1193,0.0708,0.0858,0.0763
s002,3,41,0.0752,0.118,0.0797,0.1035,0.0808,0.0985,0.1016,0.1072,0.0808,0.0961,0.104
s002,3,42,0.1085,0.0876,0.0768,0.0953,0.1024,0.1051,0.0871,0.1259,0.0716,0.0924,0.075
s002,3,43,0.0971,0.0887,0.0692,0.1048,0.1122,0.1072,0.0842,0.1168,0.0764,0.0934,0.0597
s002,3,44,0.1051,0.0861,0.0705,0.0993,0.1032,0.0988,0.0971,0.1114,0.0753,0.0969,0.0784
s002,3,45,0.1053,0.0958,0.0686,0.0987,0.1051,0.1115,0.1222,0.1095,0.0824,0.0927,0.0895
s002,3,46,0.0869,0.0932,0.0845,0.0855,0.0834,0.1035,0.0982,0.1043,0.089,0.0948,0.095
s002,3,47,0.108,0.0845,0.0739,0.0942,0.1022,0.1148,0.0884,0.1111,0.076,0.0832,0.0681
s002,3,48,0.0977,0.0892,0.0679,0.0927,0.1016,0.1194,0.0979,0.1307,0.0776,0.0985,0.0834
s002,3,49,0.0987,0.0847,0.1027,0.0998,0.095,0.1088,0.0998,0.118,0.075,0.0911,0.085
s002,3,50,0.1008,0.0861,0.0787,0.0948,0.0858,0.1112,0.0876,0.1144,0.0872,0.0927,0.08
s002,4,1,0.1159,0.0679,0.0792,0.0684,0.0803,0.1085,0.0795,0.0917,0.0977,0.0874,0.0549
s002,4,2,0.1008,0.0723,0.0744,0.0744,0.0892,0.1051,0.0824,0.1077,0.0882,0.0797,0.0613
s002,4,3,0.1024,0.0948,0.0689,0.0958,0.0855,0.1075,0.0861,0.0985,0.0784,0.0784,0.075
s002,4,4,0.1148,0.0824,0.0686,0.0879,0.0739,0.0977,0.0861,0.1019,0.0834,0.0787,0.0605
s002,4,5,0.1032,0.0821,0.0605,0.0826,0.0837,0.1125,0.0905,0.103,0.0995,0.081,0.0655
s002,4,6,0.1014,0.0829,0.0737,0.0834,0.0816,0.0993,0.0718,0.1183,0.0834,0.0964,0.076
s002,4,7,0.1069,0.0861,0.0639,0.0853,0.09,0.1106,0.0895,0.0929,0.1001,0.1111,0.0689
s002,4,8,0.1114,0.0795,0.0795,0.0911,0.0961,0.0977,0.1114,0.0793,0.0748,0.1032,0.09
s002,4,9,0.1037,0.0681,0.09,0.081,0.0879,0.0903,0.0998,0.1399,0.1278,0.1066,0.066
s002,4,10,0.0876,0.0781,0.0847,0.0985,0.0708,0.1006,0.0887,0.09,0.0882,0.0995,0.1008
s002,4,11,0.1143,0.0766,0.0747,0.0905,0.0948,0.1009,0.0953,0.1009,0.0885,0.0982,0.0721
s002,4,12,0.0982,0.0715,0.0739,0.0789,0.0892,0.1085,0.0993,0.0934,0.1053,0.1074,0.0605
s002,4,13,0.0789,0.0839,0.0755,0.0977,0.1043,0.1048,0.0998,0.1194,0.122,0.1014,0.0808
s002,4,14,0.1106,0.0861,0.0586,0.0684,0.0834,0.1148,0.1095,0.0882,0.0821,0.081,0.0871
s002,4,15,0.095,0.0797,0.0636,0.0803,0.0784,0.1101,0.118,0.1301,0.0953,0.0995,0.0734
s002,4,16,0.1093,0.0829,0.0663,0.09,0.0684,0.109,0.0993,0.0964,0.0731,0.0813,0.0847
s002,4,17,0.0977,0.0882,0.0681,0.0913,0.0663,0.1111,0.0956,0.1156,0.0866,0.0842,0.0668
s002,4,18,0.0813,0.0845,0.0892,0.1093,0.0721,0.1008,0.1016,0.1072,0.09,0.0858,0.0821
s002,4,19,0.0993,0.0808,0.0813,0.0942,0.0884,0.1212,0.0995,0.1284,0.0922,0.0919,0.0847
s002,4,20,0.1132,0.0863,0.0694,0.1014,0.0803,0.1132,0.1016,0.0993,0.088,0.0958,0.0834
s002,4,21,0.0916,0.0895,0.0618,0.0979,0.0895,0.108,0.0911,0.1191,0.0938,0.1037,0.0676
s002,4,22,0.0942,0.0985,0.0789,0.1035,0.0789,0.1014,0.0916,0.1024,0.0821,0.081,0.0766
s002,4,23,0.1204,0.0816,0.0708,0.0979,0.1193,0.113,0.1019,0.117,0.0922,0.0787,0.0681
s002,4,24,0.1061,0.0813,0.0642,0.0853,0.09,0.0964,0.0879,0.094,0.0948,0.0734,0.0547
s002,4,25,0.0816,0.0956,0.0557,0.0887,0.0892,0.0935,0.0866,0.1122,0.08,0.0985,0.0613
s002,4,26,0.0874,0.0734,0.0573,0.0916,0.0847,0.1014,0.0805,0.1143,0.0813,0.0927,0.0755
s002,4,27,0.085,0.075,0.0544,0.0874,0.0747,0.0956,0.0845,0.1077,0.0868,0.1325,0.0993
s002,4,28,0.1038,0.113,0.0592,0.1009,0.0763,0.0974,0.094,0.1222,0.0832,0.1016,0.0729
s002,4,29,0.1077,0.0887,0.0652,0.09,0.0829,0.1,0.0924,0.1075,0.0896,0.1159,0.071
s002,4,30,0.1101,0.085,0.0639,0.1008,0.0763,0.1241,0.0982,0.128,0.0874,0.0998,0.0771
s002,4,31,0.1117,0.0993,0.0718,0.1111,0.0853,0.1043,0.0964,0.1193,0.0924,0.109,0.0842
s002,4,32,0.1167,0.0956,0.0627,0.1086,0.0816,0.098,0.0903,0.1156,0.0861,0.0993,0.0697
s002,4,33,0.0737,0.1552,0.0631,0.1,0.0752,0.0991,0.0847,0.1148,0.0805,0.1127,0.0956
s002,4,34,0.1122,0.0971,0.0721,0.1072,0.1048,0.0945,0.095,0.109,0.0818,0.0892,0.0607
s002,4,35,0.0581,0.0911,0.0628,0.094,0.0958,0.1201,0.1019,0.1143,0.0964,0.0987,0.0591
s002,4,36,0.0945,0.0971,0.0586,0.0969,0.0879,0.0893,0.0784,0.1085,0.0789,0.0845,0.057
s002,4,37,0.1151,0.0964,0.0803,0.1122,0.1056,0.1223,0.0871,0.114,0.0821,0.0953,0.0847
s002,4,38,0.0961,0.0921,0.0665,0.0882,0.0863,0.0963,0.0895,0.1125,0.0898,0.0795,0.0832
s002,4,39,0.1114,0.0921,0.0657,0.0924,0.0803,0.1196,0.0845,0.0893,0.0756,0.0869,0.0908
s002,4,40,0.1217,0.0964,0.0813,0.1043,0.0829,0.1162,0.09,0.1172,0.0905,0.0905,0.0979
s002,4,41,0.132,0.1041,0.07,0.1085,0.0961,0.1217,0.0898,0.1183,0.0792,0.0919,0.0808
s002,4,42,0.0998,0.0958,0.0581,0.0911,0.0781,0.1167,0.0781,0.1246,0.0779,0.0876,0.0805
s002,4,43,0.1217,0.0863,0.0787,0.0966,0.0913,0.1217,0.0956,0.1206,0.0774,0.0898,0.0776
s002,4,44,0.094,0.09,0.0755,0.1056,0.0882,0.1212,0.0871,0.1143,0.0895,0.1109,0.0697
s002,4,45,0.1117,0.0837,0.0689,0.1048,0.0932,0.1032,0.0768,0.1209,0.0792,0.0821,0.0729
s002,4,46,0.1127,0.1022,0.0731,0.1024,0.0866,0.0935,0.0876,0.1193,0.0853,0.0879,0.0779
s002,4,47,0.1138,0.0937,0.0842,0.099,0.0866,0.1288,0.0697,0.1082,0.0813,0.0776,0.0752
s002,4,48,0.1093,0.0927,0.0818,0.1024,0.0813,0.1075,0.0821,0.1104,0.0937,0.1006,0.0821
s002,4,49,0.1196,0.0813,0.0718,0.085,0.0731,0.1083,0.0911,0.1088,0.0724,0.0987,0.0861
s002,4,50,0.1146,0.0847,0.0715,0.1003,0.0866,0.142,0.0874,0.1045,0.1172,0.0821,0.0977
s002,5,1,0.09,0.065,0.0647,0.0739,0.0718,0.1096,0.0615,0.0974,0.0618,0.0631,0.0515
s002,5,2,0.0937,0.0702,0.0647,0.0818,0.0913,0.0922,0.0781,0.1204,0.0711,0.0771,0.0462
s002,5,3,0.0832,0.0737,0.0591,0.0842,0.0296,0.0995,0.0663,0.1017,0.0692,0.0557,0.0436
s002,5,4,0.0755,0.0792,0.0555,0.0702,0.0776,0.123,0.075,0.102,0.0843,0.0631,0.0256
s002,5,5,0.0805,0.0797,0.065,0.0734,0.0869,0.113,0.0692,0.1265,0.0811,0.0715,0.0436
s002,5,6,0.1014,0.0905,0.0657,0.0824,0.0734,0.1024,0.0676,0.1006,0.0648,0.0615,0.0599
s002,5,7,0.0934,0.08,0.0594,0.0824,0.0789,0.1009,0.0742,0.1003,0.0702,0.0758,0.0533
s002,5,8,0.099,0.0792,0.0623,0.0805,0.0898,0.1267,0.0813,0.1141,0.0745,0.0668,0.0507
s002,5,9,0.1124,0.0805,0.0589,0.0718,0.0676,0.1109,0.0771,0.1046,0.0518,0.0932,0.0631
s002,5,10,0.0948,0.0657,0.0726,0.085,0.0771,0.1011,0.0826,0.0972,0.1133,0.1072,0.0626
s002,5,11,0.0826,0.0839,0.0536,0.0784,0.0813,0.0929,0.071,0.1054,0.0771,0.0784,0.0655
s002,5,12,0.0737,0.0784,0.0576,0.0763,0.0729,0.1238,0.1119,0.0924,0.1032,0.0829,0.0832
s002,5,13,0.0404,0.0766,0.0631,0.0731,0.0932,0.098,0.0803,0.0912,0.0695,0.0602,0.062
s002,5,14,0.0747,0.0744,0.0634,0.0713,0.08,0.1025,0.0797,0.0872,0.0623,0.0657,0.0639
s002,5,15,0.0879,0.0697,0.0626,0.0797,0.0726,0.1117,0.0723,0.0975,0.1318,0.0787,0.062
s002,5,16,0.0652,0.0861,0.0618,0.0948,0.0734,0.0983,0.0715,0.1019,0.084,0.0882,0.0721
s002,5,17,0.0927,0.0792,0.0578,0.0803,0.0898,0.097,0.0858,0.1046,0.0737,0.0813,0.0644
s002,5,18,0.1074,0.1061,0.0842,0.0892,0.0832,0.1065,0.0718,0.0731,0.0908,0.0708,0.0737
s002,5,19,0.0795,0.0953,0.0597,0.0977,0.0684,0.1131,0.0634,0.0924,0.0713,0.0568,0.0686
s002,5,20,0.0705,0.0998,0.065,0.0827,0.0982,0.1085,0.0797,0.1255,0.0676,0.1093,0.071
s002,5,21,0.081,0.0795,0.0539,0.0768,0.0671,0.1085,0.1003,0.1085,0.0813,0.0913,0.0568
s002,5,22,0.1059,0.07,0.0694,0.0744,0.0982,0.1207,0.109,0.1037,0.08,0.0834,0.0734
s002,5,23,0.0792,0.08,0.0539,0.0911,0.0895,0.1135,0.0871,0.1027,0.0789,0.0718,0.0715
s002,5,24,0.0694,0.071,0.0626,0.0824,0.0845,0.1154,0.1029,0.09,0.0951,0.085,0.1093
s002,5,25,0.0795,0.0824,0.057,0.0816,0.0837,0.1059,0.0908,0.0985,0.0884,0.0934,0.0795
s002,5,26,0.1037,0.08,0.0636,0.0977,0.0858,0.1019,0.0768,0.1082,0.076,0.0816,0.1064
s002,5,27,0.0766,0.0702,0.0589,0.0708,0.0839,0.1022,0.0882,0.1154,0.0819,0.0742,0.0489
