subject,sessionIndex,rep,UD.period.t,UD.t.i,UD.i.e,UD.e.five,UD.five.Shift.r,UD.Shift.r.o,UD.o.a,UD.a.n,UD.n.l,UD.l.Return
s002,1,40,0.0984,0.0697,0.0731,0.8299,0.512,0.1254,0.0919,0.0507,0.2098,0.2509
s002,1,41,0.1459,0.0657,0.0562,0.68,0.3725,0.0589,0.0099,0.0394,0.1465,0.2084
s002,1,42,0.0403,0.0995,0.1109,0.9496,0.379,0.0607,0.0109,0.0542,0.1594,0.1585
s002,1,43,0.0883,0.0689,0.0605,0.5256,0.3685,0.0784,0.0107,0.0856,0.1992,0.1962
s002,1,44,0.0738,0.0776,0.0599,0.9373,0.3716,0.6368,0.2584,0.1895,0.1866,0.2524
s002,1,45,0.2102,0.0826,0.1098,0.8019,0.3988,0.1613,0.0724,0.0813,0.175,0.4007
s002,1,46,0.077,0.0697,0.0525,0.7014,0.4273,0.2045,0.0394,0.0534,0.1604,0.1751
s002,1,47,0.0517,0.0916,0.0338,1.193,0.6548,0.1589,0.1207,0.1212,0.1684,0.2031
s002,1,48,0.4219,0.057,0.0919,0.5863,0.345,0.1568,0.0481,0.0898,0.1385,0.1968
s002,1,49,0.1263,0.0895,0.0531,0.6845,0.3885,0.0942,0.0051,0.0726,0.1314,0.1413
s002,1,50,0.091,0.1367,0.0977,1.2041,0.707,0.142,0.0225,0.0162,0.1602,0.2015
s002,2,1,0.3182,0.0626,0.0615,1.3468,0.9052,0.1568,0.0365,0.0397,0.0844,0.1614
s002,2,2,0.1253,0.0335,0.0351,0.5457,0.7223,0.1357,0.0064,0.0404,0.085,0.1332
s002,2,3,0.0976,0.0436,0.0562,0.8236,0.6421,0.1874,0.0373,0.0397,0.114,0.1305
s002,2,4,0.0999,0.046,0.0544,0.5196,0.7938,0.1457,0.0281,0.0067,0.1158,0.1493
s002,2,5,0.0841,0.0396,0.0702,0.5188,0.364,0.104,0.0178,0.0082,0.0739,0.1245
s002,2,6,0.0221,0.0386,0.1842,0.808,0.3674,0.0602,0.0378,0.0011,0.095,0.1936
s002,2,7,0.0941,0.0098,0.0874,0.5784,0.3445,0.0863,0.0547,-0.0195,0.1876,0.2635
s002,2,8,0.0738,0.0409,0.1014,0.6908,0.6126,0.0499,0.0793,-0.0306,0.1177,0.1783
s002,2,9,0.0327,0.0869,0.0549,0.6193,0.3526,0.0832,0.0537,0.079,0.1451,0.1722
s002,2,10,0.0947,0.0713,0.0565,0.4475,0.658,0.07,0.3859,0.2194,0.157,0.216
s002,2,11,0.0881,0.2032,0.0929,0.728,0.34,0.095,0.0611,0.0932,0.156,0.1746
s002,2,12,0.0904,0.0591,0.0758,0.5307,0.426,0.1753,0.2516,0.0375,0.1575,0.1685
s002,2,13,0.1329,0.0489,0.1003,0.7748,0.3629,0.1586,0.1468,0.055,0.1314,0.1548
s002,2,14,0.1013,0.0555,0.1299,1.3532,0.3548,0.1293,0.1173,0.0447,0.1166,0.2129
s002,2,15,0.0978,0.0586,0.1016,0.6045,0.3878,0.19,0.0933,0.003,0.1148,0.1234
s002,2,16,0.0617,0.0602,0.0655,0.7064,0.3957,0.1151,0.088,0.0254,0.1259,0.1239
s002,2,17,0.0501,0.066,0.0533,0.556,0.4363,0.2552,0.141,0.0257,0.1153,0.1347
s002,2,18,0.0495,0.0565,0.0715,0.7587,0.5825,0.2655,0.2513,0.0412,0.143,0.1482
s002,2,19,0.124,0.047,0.0845,0.8164,0.3843,0.2206,0.0983,0.0534,0.1108,0.2387
s002,2,20,0.0836,0.0396,0.0581,0.7519,0.3273,0.2206,0.0545,0.0093,0.1,0.139
s002,2,21,0.1087,0.0528,0.0768,0.6014,0.3138,0.1227,0.0864,0.0283,0.1024,0.1392
s002,2,22,0.0757,0.037,0.0584,0.4454,0.3476,0.0847,0.041,0.0357,0.0942,0.1086
s002,2,23,0.1329,0.0858,0.1415,0.7014,0.3106,0.0869,0.0531,0.0148,0.0937,0.1313
s002,2,24,0.0873,0.0681,0.0531,0.5206,0.288,0.0987,0.0629,0.0112,0.0984,0.1165
s002,2,25,0.0451,0.0576,0.0528,0.456,0.3208,0.0871,0.0402,0.0188,0.1066,0.1231
s002,2,26,0.0965,0.0602,0.071,0.4731,0.3218,0.0747,0.0468,0.027,0.0982,1.1681
s002,2,27,0.0749,0.0613,0.0905,0.6367,0.3026,0.1209,0.0426,0.0112,0.1203,0.1487
s002,2,28,0.0622,0.046,0.0483,0.551,0.3176,0.0441,0.0257,0.0402,0.1027,0.1471
s002,2,29,0.0891,0.0486,0.0882,0.5373,0.3534,0.0441,0.0787,0.0193,0.114,0.1337
s002,2,30,0.0606,0.0589,0.0615,0.4156,0.3566,0.1336,0.0539,0.0085,0.0968,0.1105
s002,2,31,0.0274,0.0705,0.0504,0.4011,0.3239,0.0444,0.0494,-0.0026,0.09,0.1376
s002,2,32,0.1021,0.0507,0.0655,0.7344,0.3534,0.0808,0.0708,0.0275,0.0968,0.1091
s002,2,33,0.0844,0.0533,0.0605,0.4589,0.4152,0.1615,0.0529,0.0207,0.1174,0.1588
s002,2,34,0.0532,0.057,0.0639,0.4789,0.35,0.1114,0.0481,0.0122,0.1066,0.1197
s002,2,35,0.0398,0.0584,0.0644,0.6455,0.3247,0.0299,0.0584,0.0017,0.1008,0.1701
s002,2,36,0.0619,0.0631,0.1077,0.7112,0.3429,0.2705,0.0874,-0.004,0.1153,0.1511
s002,2,37,0.0514,0.0491,0.0607,0.7331,0.3231,0.1238,0.1247,0.0204,0.1222,0.1226
s002,2,38,0.0651,0.0489,0.0607,0.5064,0.2912,0.1423,0.0399,-0.0143,0.1222,0.1825
s002,2,39,0.0728,0.0428,0.0697,0.432,0.3593,0.0789,0.0758,0.0275,0.1132,0.1276
s002,2,40,0.0662,0.0536,0.0549,0.3465,0.3386,0.0499,0.0537,0.0172,0.1074,0.1313
s002,2,41,0.0999,0.1053,0.0578,0.3766,0.3176,0.0589,0.0429,0.017,0.0961,0.1342
s002,2,42,0.2324,0.0441,0.1037,0.6267,0.4083,0.0853,0.0326,0.0333,0.1019,0.1395
s002,2,43,0.0519,0.0694,0.043,0.3536,0.8735,0.1549,0.0613,-0.0077,0.1114,0.1424
s002,2,44,0.0432,0.0504,0.0372,0.3837,0.2972,0.065,0.045,-0.0055,0.1129,0.1448
s002,2,45,0.0838,0.0605,0.0562,0.3771,0.3611,0.0729,0.1402,0.0262,0.1169,0.1337
s002,2,46,0.0678,0.046,0.0628,0.4196,0.322,0.2998,0.0785,0.0225,0.1193,0.1345
s002,2,47,0.0662,0.038,0.0795,0.5235,0.2787,0.052,0.103,-0.01,0.1264,0.1614
s002,2,48,0.0823,0.0396,0.0858,0.4022,0.3305,0.1183,0.0814,0.0109,0.1494,0.2857
s002,2,49,0.1453,0.081,0.0779,0.4404,0.2711,0.1584,0.0571,0.0133,0.1169,0.1321
s002,2,50,0.0456,0.0636,0.0438,0.3969,0.3014,0.1829,0.0534,-0.0158,0.1238,0.1279
s002,3,1,0.4464,0.2111,0.0739,0.7935,0.4173,0.1439,0.0959,0.0521,0.1098,0.1477
s002,3,2,0.0757,0.0478,0.0544,0.7027,0.3756,0.1375,0.0502,0.0075,0.0858,0.1527
s002,3,3,0.1139,0.0314,0.0726,0.6465,0.2898,0.1011,0.0487,0.0019,0.1306,0.3284
s002,3,4,0.0564,0.0338,0.0541,0.3671,0.3268,0.1006,0.0315,0.0222,0.1048,0.1279
s002,3,5,0.1229,0.0655,0.0436,0.4307,0.2537,0.1222,0.0687,0.018,0.099,0.1464
s002,3,6,0.0765,0.0586,0.0417,0.4362,0.2883,0.0758,0.0637,0.0309,0.1148,0.1186
s002,3,7,0.0868,0.0523,0.0544,0.3409,1.6713,0.1386,0.0861,-0.024,0.0868,0.1324
s002,3,8,0.0659,0.0639,0.0454,0.4272,0.3142,0.1175,0.0392,0.0172,0.0916,0.1099
s002,3,9,0.0387,0.0591,0.0515,0.4906,0.2782,0.1494,0.0661,-0.0588,0.0963,0.183
s002,3,10,0.4826,0.1037,0.0351,0.3383,0.2511,0.0824,0.0228,-0.0021,0.0763,0.1208
s002,3,11,0.0923,0.0547,0.0663,0.3713,0.2616,0.0599,0.0637,-0.0135,0.09,0.116
s002,3,12,0.1013,0.0549,0.051,0.2958,0.2998,0.1,0.0938,-0.0343,0.0955,0.1477
s002,3,13,0.3923,0.1869,0.0536,0.4172,0.3065,0.1869,0.1487,0.0204,0.1027,0.1661
s002,3,14,0.0633,0.0744,0.1544,0.5536,0.2845,0.1283,0.0919,-0.0214,0.1003,0.1524
s002,3,15,0.0192,0.0966,0.0544,0.3523,0.2954,0.0684,0.0582,-0.0208,0.1132,0.2184
s002,3,16,0.0456,0.0948,0.0489,0.5589,0.2563,0.1146,0.0719,-0.0156,0.1011,0.1474
s002,3,17,0.0538,0.0847,0.075,0.4874,0.2857,0.1338,0.1566,0.0755,0.1029,0.1134
s002,3,18,-0.0054,0.0869,0.0444,0.4592,0.3419,0.0306,0.0803,-0.0121,0.1119,0.3559
s002,3,19,0.0751,0.0478,0.0394,0.362,0.2985,0.0362,0.0624,-0.0034,0.1317,0.1485
s002,3,20,0.0292,0.0744,0.0496,0.3523,0.4416,0.2156,0.2408,0.0291,0.1182,0.1506
s002,3,21,0.0472,0.1293,0.9476,0.6064,0.2825,0.0597,0.0436,-0.0137,0.0984,0.125
s002,3,22,0.0356,0.0969,0.356,0.3834,0.2814,0.0863,0.0534,-0.0103,0.1013,0.1173
s002,3,23,0.0501,0.0964,0.0776,0.6536,0.3841,0.0774,0.0502,-0.0024,0.1174,0.1585
s002,3,24,0.552,0.1599,0.0647,0.4161,0.2568,0.0673,0.0542,-0.0137,0.1172,0.1606
s002,3,25,0.0488,0.0855,0.1059,0.3441,0.3342,0.0552,0.0497,0.004,0.1261,0.1342
s002,3,26,0.015,0.0892,-0.0011,0.5969,0.3833,0.0454,0.0613,-0.0259,0.1082,0.1369
s002,3,27,0.0712,0.0441,0.0407,0.3861,0.27,0.0328,0.0716,-0.0214,0.1288,0.1712
s002,3,28,0.0472,0.0774,0.062,0.3977,0.274,0.0365,0.0975,-0.0261,0.1987,0.164
s002,3,29,0.0374,0.1051,-0.0272,0.5911,0.3023,0.024,0.0977,-0.0013,0.1312,0.1551
s002,3,30,0.0324,0.0956,0.047,0.3182,0.3732,0.0858,0.0539,0.041,0.1314,0.1548
s002,3,31,0.0482,0.0737,0.046,0.4027,0.3263,0.0845,0.0516,-0.0393,0.1085,0.1268
s002,3,32,0.0079,0.0824,0.0251,0.3486,0.3038,0.0101,0.1022,-0.0172,0.1158,0.1147
s002,3,33,0.0941,0.0713,0.0581,0.5119,0.2825,0.17,0.0558,0.0257,0.1251,0.1329
s002,3,34,0.0424,0.0689,0.0175,0.2984,0.7978,0.1428,0.0421,0.0043,0.09,0.1503
s002,3,35,0.0255,0.075,0.024,0.3343,0.2811,0.046,0.0969,-0.0135,0.128,0.1508
s002,3,36,0.0242,0.1177,0.019,0.4737,0.2888,0.0584,0.0845,-0.004,0.1048,0.1258
s002,3,37,0.0751,0.1753,0.0346,0.8133,0.2906,0.0726,0.0608,-0.0016,0.1135,0.1698
s002,3,38,0.0284,0.1394,0.0808,0.2963,0.3376,0.1935,0.1012,0.0586,0.1214,0.1289
s002,3,39,0.1047,0.0953,0.07,0.3613,0.3113,0.0742,0.0547,-0.0185,0.1177,0.1308
s002,3,40,0.0316,0.1069,0.0446,0.5008,0.4166,0.1167,0.0465,0.0228,0.1177,0.13
s002,3,41,0.1277,0.1016,0.2198,0.5259,0.2822,0.1322,0.079,0.0072,0.1108,0.1741
s002,3,42,0.0672,0.1027,0.0314,0.2937,0.3194,0.0737,0.0468,-0.0227,0.0995,0.1192
s002,3,43,0.0298,0.1172,0.0578,0.3317,0.3254,0.0842,0.056,-0.0019,0.0924,0.1329
s002,3,44,0.0598,0.099,0.0341,0.3425,0.3234,0.0784,0.0547,-0.0013,0.1079,0.145
s002,3,45,0.0606,0.128,0.0863,0.4259,0.2988,0.0948,0.0785,0.0312,0.1272,0.1395
s002,3,46,0.0831,0.1597,0.1024,0.4433,0.2593,0.071,0.0582,-0.0362,0.1137,0.1318
s002,3,47,0.0284,0.0895,0.0383,0.2549,0.2978,0.0942,0.0603,-0.0121,0.1077,0.1255
s002,3,48,0.0559,0.0507,0.0694,0.294,0.3535,0.1338,0.1252,0.0127,0.1143,0.159
s002,3,49,0.0469,0.1219,0.0766,0.4285,0.2972,0.0929,0.0468,-0.0182,0.1145,0.1374
s002,3,50,0.0337,0.0789,0.0539,0.3008,0.3463,0.0937,0.0684,-0.0135,0.1024,0.1205
s002,4,1,0.0778,0.018,0.0225,0.4061,0.268,0.085,0.0537,-0.0032,0.0939,0.1329
s002,4,2,0.0614,0.0507,0.052,0.3209,0.3107,0.1462,0.0529,-0.0042,0.1011,0.1237
s002,4,3,0.0598,0.0346,0.062,0.3217,0.2967,0.0628,0.0373,-0.0166,0.0887,0.1313
s002,4,4,0.0432,0.0333,0.0763,0.39,0.2869,0.0518,0.0761,-0.0546,0.1127,0.1324
s002,4,5,0.0287,0.0576,0.0357,0.3396,0.3363,0.1127,0.0418,-0.0153,0.1032,0.1252
s002,4,6,0.0358,0.0312,0.0457,0.3628,0.2595,0.0441,0.0669,-0.0847,0.1357,0.1593
s002,4,7,0.0538,0.0325,0.0576,0.3301,0.3202,0.1217,0.0764,-0.0591,0.1705,0.1527
s002,4,8,0.0857,0.0304,0.0657,0.4969,0.4717,0.1349,0.0721,-0.0676,0.1499,0.1875
s002,4,9,0.0459,0.0153,0.0251,0.2546,0.2785,0.0647,0.0962,-0.0013,0.1414,0.1466
s002,4,10,0.0303,0.0747,0.0291,0.3853,0.2753,0.09,0.0592,0.0201,0.0873,0.1954
s002,4,11,0.0166,0.0647,0.0433,0.5336,0.2959,0.1375,0.0674,-0.0285,0.0961,0.1121
s002,4,12,0.0738,0.0372,0.0367,0.3277,0.3503,0.0763,0.0584,-0.0369,0.1536,0.1508
s002,4,13,0.0118,0.0747,0.0175,0.3394,0.3091,0.0335,0.0948,-0.0615,0.1227,0.1281
s002,4,14,-0.0012,0.081,0.0093,0.5006,0.2996,0.027,0.0835,0.0996,0.1267,0.1237
s002,4,15,0.0203,0.0446,0.0533,0.3518,0.2497,0.0196,0.0951,0.0431,0.1346,0.1231
s002,4,16,0.0123,0.0903,0.024,0.4148,0.2463,0.0423,0.0851,0.0367,0.1348,0.1448
s002,4,17,0.0163,0.0953,0.0198,0.3681,0.283,0.0512,0.0711,0.023,0.1137,0.1347
s002,4,18,-0.0099,0.1692,0.0148,0.3475,0.3268,0.1375,0.0727,0.0426,0.119,0.1078
s002,4,19,0.063,0.0328,0.0478,0.2958,0.2481,0.0489,0.0713,-0.0143,0.1203,0.1466
s002,4,20,0.0466,0.0615,0.0628,0.3927,0.2444,0.0752,0.0283,-0.0032,0.1135,0.1152
s002,4,21,-0.0183,0.0942,0.013,0.3003,0.331,0.0863,0.0434,-0.009,0.1019,0.1276
s002,4,22,0.0026,0.0942,0.0243,0.3966,0.2276,0.1022,0.0418,0.0011,0.1042,0.1184
s002,4,23,0.0015,0.0631,0.038,0.2868,0.4299,0.128,0.0576,-0.0032,0.0992,0.1292
s002,4,24,0.0065,0.0668,0.0085,0.2285,0.2585,0.0547,0.0758,-0.0483,0.0971,0.1044
s002,4,25,-0.0152,0.0808,0.0251,0.2393,0.3292,0.0544,0.074,0.0626,0.1422,0.1371
s002,4,26,0.0179,0.0731,-0.0145,0.3868,0.2582,0.037,0.0605,-0.0121,0.123,0.1477
s002,4,27,0.0184,0.0702,0.0317,0.2982,0.2437,0.0391,0.0613,-0.0369,0.4977,0.1991
s002,4,28,-0.0215,0.095,-0.0056,0.3929,0.3143,0.0964,0.0468,0.0051,0.1219,0.1266
s002,4,29,0.0865,0.0544,0.0676,0.4119,0.2352,0.051,0.0373,-0.0317,0.1195,0.135
s002,4,30,-0.0012,0.0692,0.0048,0.4747,0.282,0.0304,0.0373,0.0243,0.1248,0.1289
s002,4,31,-0.026,0.1024,0.0167,0.3866,0.2906,0.0454,0.0468,0.0212,0.1158,0.1118
s002,4,32,-0.0218,0.0763,-0.0014,0.3354,0.2664,0.0296,0.064,0.0035,0.1108,0.13
s002,4,33,0.0274,0.0591,0.0106,0.5341,0.2859,0.042,0.0323,0.0067,0.1042,0.1347
s002,4,34,0.0176,0.0708,0.0299,0.2438,0.2756,0.0911,0.0458,0.0191,0.1111,0.1258
s002,4,35,0.0424,0.0744,0.0193,0.2391,0.2397,0.0425,0.0365,0.0027,0.1079,0.1274
s002,4,36,0.0203,0.0744,0.0407,0.2417,0.3181,0.08,0.0655,0.0082,0.124,0.1392
s002,4,37,0.0601,0.0462,0.042,0.1924,0.2948,0.0547,0.1001,-0.0092,0.0961,0.115
s002,4,38,0.044,0.0433,0.0634,0.3114,0.2651,0.027,0.0582,-0.0544,0.1122,0.1326
s002,4,39,0.0142,0.0634,0.0512,0.3343,0.35,0.0581,0.0415,-0.0016,0.1027,0.1142
s002,4,40,0.0218,0.0467,0.0879,0.3153,0.3004,0.0135,0.0972,0.0127,0.1185,0.1284
s002,4,41,-0.0036,0.0573,0.0301,0.1995,0.2666,0.0272,0.05,0.0336,0.1111,0.1033
s002,4,42,0.0976,0.0391,0.0776,0.3853,0.2252,0.0211,0.0603,-0.0372,0.1063,0.0983
s002,4,43,0.0089,0.047,0.0325,0.1786,0.3228,0.1146,0.0663,0.0088,0.0997,0.1226
s002,4,44,0.0667,0.0475,0.0409,0.1665,0.2706,0.0446,0.0648,0.0159,0.1122,0.1448
s002,4,45,0.0261,0.0697,0.0357,0.1391,0.3413,0.7086,0.079,-0.0282,0.1082,0.1369
s002,4,46,0.0295,0.0375,0.07,0.247,0.2809,0.0642,0.0347,-0.0219,0.1069,0.1128
s002,4,47,0.0121,0.0578,0.0175,0.1343,0.7914,0.1267,0.0669,0.0093,0.0932,0.1221
s002,4,48,0.0253,0.047,0.0518,0.1472,0.7966,0.0467,0.074,-0.0174,0.1124,0.1147
s002,4,49,0.0269,0.0578,0.0404,0.1391,0.6168,0.1222,0.0494,-0.0272,0.0992,0.0994
s002,4,50,0.0313,0.0557,0.052,0.1618,0.3738,0.0876,0.0985,0.0035,0.1219,0.1659
s002,5,1,0.092,0.0267,0.0423,0.347,0.2511,0.0718,0.0173,0.0193,0.1011,0.1234
s002,5,2,0.0577,0.0428,0.0467,0.2568,0.2315,0.0715,0.0146,-0.0285,0.0844,0.1136
s002,5,3,0.0366,0.0494,0.0568,0.3684,1.1578,0.0449,0.0378,-0.0562,0.0895,0.1094
s002,5,4,0.0527,0.0291,0.062,0.2459,0.2384,0.0507,0.0312,-0.042,0.0905,0.12
s002,5,5,0.0633,0.032,0.0325,0.27,0.2281,0.0787,0.0302,-0.0562,0.0963,0.1216
s002,5,6,0.0377,0.0314,0.037,0.3723,0.2619,0.0452,0.0658,-0.0441,0.1011,0.1139
s002,5,7,0.059,0.0357,0.0425,0.3174,0.2603,0.0758,0.0357,-0.0145,0.0984,0.1118
s002,5,8,0.0437,0.0375,0.0705,0.195,0.2661,0.0438,0.0508,-0.0697,0.109,0.102
s002,5,9,0.0166,0.0507,0.0626,0.3322,0.2677,0.0325,0.0811,-0.0795,0.1557,0.1157
s002,5,10,0.0849,-0.0087,0.0715,0.3021,0.2598,0.0555,0.0867,-0.0818,0.091,0.1044
s002,5,11,0.0203,0.0599,0.0428,0.2003,0.3149,0.0834,0.0407,-0.038,0.0916,0.0983
s002,5,12,0.1406,0.0475,0.0568,0.6816,0.2669,0.0818,0.0922,-0.0451,0.1346,0.1324
s002,5,13,0.31,0.0578,0.0584,0.2842,0.3131,0.0591,0.0761,-0.0647,0.1145,0.1432
s002,5,14,0.0342,0.0293,0.0341,0.1399,0.3634,0.0726,0.0634,-0.0684,0.1233,0.1561
s002,5,15,0.0714,0.0367,0.0272,0.5096,0.2672,0.0438,0.0806,-0.0383,0.1032,0.1123
s002,5,16,0.02,0.0655,0.0111,0.3818,0.2587,0.0898,0.0766,-0.0512,0.1016,0.1084
s002,5,17,0.0224,0.0465,0.0314,0.1897,0.5663,0.0388,0.0426,-0.0372,0.1172,0.1321
s002,5,18,0.0448,0.0404,0.0739,0.4491,0.2922,0.0283,0.0806,-0.0253,0.1203,0.0954
s002,5,19,-0.0223,0.0876,-0.0193,0.3866,0.3378,0.0985,0.0729,0.0243,0.1129,0.1279
s002,5,20,-0.0165,0.0977,-0.0069,0.213,0.4384,0.0533,0.0896,-0.0898,0.6796,0.1223
s002,5,21,0.0319,0.0536,0.0248,0.4296,0.2627,0.0599,0.0919,0.0196,0.1185,0.1384
s002,5,22,0.0137,0.0576,0.005,0.1488,0.296,0.1235,0.1761,0.0378,0.1029,0.1081
s002,5,23,0.0329,0.0605,0.028,0.1275,0.35,0.0795,0.0497,-0.0129,0.11,0.1369
s002,5,24,0.0585,0.0325,0.0359,0.142,0.564,0.0159,0.0545,-0.0533,0.1214,0.2224
s002,5,25,0.0685,0.0409,0.0832,0.3148,0.2745,0.0412,0.0922,-0.0916,0.5365,0.1287
s002,5,26,0.0332,0.0491,-0.0058,0.3475,0.2869,0.0525,0.1025,0.093,0.1377,0.6137
s002,5,27,0.0612,0.0394,0.0547,0.2821,0.2811,0.0214,0.0811,-0.019,0.11,0.1242
s002,5,28,0.0377,0.0689,0.0138,0.1462,0.6142,0.0338,0.0582,0.0755,0.1288,0.1134
s002,5,29,0.0369,0.0528,0.0127,0.294,0.2521,0.0214,0.1088,0.0594,0.1264,0.1023
s002,5,30,0.097,0.0182,0.4014,0.4425,0.3999,0.0359,0.0444,-0.0282,0.1103,0.1429
s002,5,31,0.0641,0.0357,0.047,0.2795,0.2748,0.0021,0.0793,-0.0214,0.095,0.1157
s002,5,32,0.0282,0.0623,0.0233,0.4853,0.2529,-0.0014,0.1009,0.0135,0.1457,0.1376
s002,5,33,0.0073,0.0737,-0.0219,0.1341,0.3461,0.0932,0.0281,0.0299,0.1074,0.1226
s002,5,34,0.0662,0.0333,0.0657,0.5631,0.4101,0.0945,0.0363,0.0212,0.1172,0.2585
s002,5,35,0.068,0.0496,0.0457,0.3834,0.2719,0.0103,0.0537,0.0133,0.1145,0.1427
s002,5,36,0.0224,0.075,0.0058,0.362,0.2996,0.0378,0.0732,0.0133,0.1322,0.1836
s002,5,37,0.0356,0.057,0.0156,0.3792,0.2265,0.0407,0.0621,-0.0296,0.1238,0.1245
s002,5,38,-0.0062,0.0726,0.0095,0.1623,0.3086,0.104,0.056,-0.038,0.1077,0.1376
s002,5,39,0.0097,0.1003,-0.0069,0.3649,0.2431,0.0304,0.0629,0.0191,0.1016,0.1015
s002,5,40,0.0406,0.0528,0.0473,0.1929,0.312,0.0235,0.0634,-0.0013,0.1151,0.139
s002,5,41,0.049,0.0415,0.0639,0.2847,0.2352,0.0301,0.0526,-0.0388,0.1061,0.1073
s002,5,42,0.1287,0.0438,0.0887,0.1837,0.2893,0.0196,0.0576,-0.0029,0.0958,0.1239
s002,5,43,0.1028,0.0684,0.008,0.4365,0.2392,0.0169,0.0787,-0.0491,0.109,0.1184
s002,5,44,-0.0144,0.1151,-0.0394,0.4132,0.3133,0.0058,0.0634,-0.0367,0.1048,0.1173
