subject,sessionIndex,rep,DD.period.t,DD.t.i,DD.i.e,DD.e.five,DD.five.Shift.r,DD.Shift.r.o,DD.o.a,DD.a.n,DD.n.l,DD.l.Return
s002,1,49,0.2292,0.1669,0.1376,0.7745,0.4875,0.2162,0.0985,0.2064,0.2061,0.2263
s002,1,50,0.2127,0.2209,0.1798,1.3036,0.787,0.2629,0.121,0.1608,0.2397,0.2971
s002,2,1,0.4628,0.1429,0.1798,1.441,0.9794,0.2743,0.164,0.1722,0.1773,0.3
s002,2,2,0.2343,0.0987,0.1106,0.6275,0.7983,0.236,0.1141,0.1407,0.161,0.2311
s002,2,3,0.1953,0.1305,0.1378,0.8938,0.7081,0.327,0.1191,0.1271,0.1887,0.2174
s002,2,4,0.1976,0.1218,0.1246,0.5919,0.8627,0.2692,0.1524,0.1255,0.1871,0.2425
s002,2,5,0.1897,0.1217,0.1402,0.5838,0.445,0.2004,0.0883,0.1127,0.1513,0.219
s002,2,6,0.1132,0.1207,0.2526,0.8777,0.4389,0.1703,0.1257,0.1088,0.1676,0.29
s002,2,7,0.1796,0.0829,0.1682,0.6499,0.4343,0.1887,0.1408,0.0687,0.2549,0.3451
s002,2,8,0.1696,0.1301,0.1714,0.7692,0.6952,0.1603,0.1643,0.0755,0.1877,0.2892
s002,2,9,0.1457,0.1711,0.113,0.698,0.4402,0.1846,0.14,0.1849,0.2156,0.2744
s002,2,10,0.1942,0.1518,0.1167,0.5185,0.7346,0.1849,0.4516,0.3371,0.2884,0.3034
s002,2,11,0.2079,0.2787,0.1655,0.8009,0.4224,0.1948,0.1408,0.208,0.2434,0.2636
s002,2,12,0.2002,0.1417,0.146,0.6044,0.4862,0.2783,0.296,0.1734,0.228,0.2517
s002,2,13,0.2435,0.1365,0.1842,0.8487,0.4355,0.2557,0.2315,0.1846,0.2011,0.2322
s002,2,14,0.209,0.1321,0.1906,1.4356,0.4403,0.2368,0.2089,0.1411,0.1792,0.3032
s002,2,15,0.2084,0.1439,0.1586,0.7009,0.4752,0.3054,0.1952,0.1292,0.1869,0.2063
s002,2,16,0.1633,0.1439,0.1339,0.7861,0.4749,0.222,0.1854,0.1368,0.1967,0.2052
s002,2,17,0.1623,0.1489,0.123,0.6455,0.525,0.382,0.2453,0.1463,0.1826,0.2324
s002,2,18,0.1511,0.1381,0.1438,0.8558,0.6517,0.3791,0.3577,0.1616,0.2254,0.2345
s002,2,19,0.2167,0.1257,0.1595,0.9011,0.4677,0.3294,0.1915,0.1669,0.1742,0.3351
s002,2,20,0.1942,0.1217,0.1312,0.8372,0.3915,0.34,0.1548,0.1423,0.1642,0.2383
s002,2,21,0.218,0.1196,0.1439,0.6885,0.3864,0.2349,0.1672,0.1452,0.1668,0.2247
s002,2,22,0.1929,0.1107,0.1387,0.527,0.4326,0.1898,0.1305,0.1455,0.1599,0.196
s002,2,23,0.2385,0.1798,0.2109,0.7803,0.3924,0.1925,0.1444,0.1191,0.165,0.2295
s002,2,24,0.1821,0.1629,0.1228,0.6024,0.3559,0.2154,0.1656,0.1184,0.167,0.2102
s002,2,25,0.1525,0.1447,0.1241,0.5423,0.4042,0.1859,0.1326,0.1204,0.1734,0.2089
s002,2,26,0.1947,0.1536,0.1367,0.5613,0.4052,0.1722,0.1405,0.1305,0.1674,1.2663
s002,2,27,0.1897,0.1397,0.1547,0.7133,0.3858,0.2273,0.1376,0.1186,0.1937,0.258
s002,2,28,0.1923,0.1284,0.1262,0.6402,0.3839,0.1616,0.1323,0.1331,0.175,0.2442
s002,2,29,0.2,0.1391,0.1653,0.6244,0.4268,0.1631,0.1769,0.1265,0.179,0.2287
s002,2,30,0.157,0.1341,0.1344,0.5019,0.4548,0.2224,0.1442,0.1183,0.1625,0.2074
s002,2,31,0.1607,0.1616,0.1198,0.4969,0.4221,0.1453,0.1529,0.1017,0.1578,0.2342
s002,2,32,0.2064,0.1455,0.1415,0.8149,0.4252,0.1985,0.1632,0.1336,0.162,0.2015
s002,2,33,0.1876,0.1378,0.1349,0.5492,0.496,0.2597,0.1342,0.1334,0.1839,0.2525
s002,2,34,0.1638,0.1399,0.1328,0.5737,0.4434,0.2252,0.15,0.1223,0.1723,0.2129
s002,2,35,0.1457,0.1476,0.1404,0.7392,0.3984,0.1398,0.1442,0.1149,0.1758,0.2701
s002,2,36,0.1664,0.1526,0.1806,0.8107,0.4551,0.3877,0.1859,0.1188,0.1896,0.2635
s002,2,37,0.1594,0.133,0.1346,0.8276,0.3822,0.2426,0.2356,0.1389,0.1914,0.2079
s002,2,38,0.163,0.126,0.1378,0.5991,0.3852,0.2653,0.1254,0.132,0.1888,0.2754
s002,2,39,0.1779,0.1281,0.136,0.5136,0.4311,0.1774,0.1574,0.146,0.1832,0.2184
s002,2,40,0.1757,0.1412,0.128,0.4365,0.4265,0.1627,0.1403,0.1217,0.1702,0.2131
s002,2,41,0.2126,0.1856,0.1206,0.4632,0.401,0.1717,0.1334,0.1155,0.1666,0.2282
s002,2,42,0.3496,0.1333,0.1971,0.7254,0.4922,0.1878,0.0983,0.1439,0.1716,0.2324
s002,2,43,0.1588,0.1502,0.1204,0.4515,0.9561,0.2631,0.1442,0.1106,0.1683,0.2314
s002,2,44,0.138,0.1301,0.1116,0.4711,0.3775,0.178,0.1213,0.1138,0.1815,0.2237
s002,2,45,0.1854,0.1392,0.1248,0.4661,0.4382,0.1867,0.2247,0.1328,0.1821,0.2179
s002,2,46,0.1758,0.1392,0.1399,0.508,0.4115,0.412,0.1675,0.1405,0.1901,0.2171
s002,2,47,0.1715,0.1219,0.1513,0.6177,0.3663,0.1759,0.1756,0.112,0.1987,0.2337
s002,2,48,0.1882,0.1309,0.1576,0.4883,0.4218,0.221,0.169,0.1051,0.218,0.3572
s002,2,49,0.2715,0.1744,0.15,0.5315,0.3561,0.2759,0.1466,0.1279,0.1808,0.2192
s002,2,50,0.1504,0.1539,0.1209,0.4903,0.3898,0.2935,0.1498,0.1143,0.1882,0.2089
s002,3,1,0.5602,0.2966,0.1681,0.873,0.4878,0.2474,0.1648,0.1661,0.1948,0.2396
s002,3,2,0.1855,0.1204,0.1217,0.7777,0.4545,0.2507,0.132,0.1139,0.1605,0.2409
s002,3,3,0.2242,0.0982,0.1294,0.7188,0.3642,0.1991,0.1519,0.1244,0.1966,0.4015
s002,3,4,0.1604,0.1048,0.1167,0.4336,0.4015,0.1848,0.1023,0.1167,0.1655,0.205
s002,3,5,0.2319,0.1415,0.1054,0.5022,0.3242,0.2297,0.1606,0.1336,0.1803,0.2248
s002,3,6,0.2061,0.1383,0.1056,0.5178,0.3688,0.1746,0.1447,0.1291,0.1885,0.1983
s002,3,7,0.1866,0.1312,0.1172,0.4259,1.736,0.2456,0.1714,0.0969,0.1692,0.2245
s002,3,8,0.1586,0.1391,0.1164,0.5061,0.3942,0.2157,0.1181,0.1141,0.1465,0.1909
s002,3,9,0.139,0.1449,0.1186,0.5706,0.3698,0.249,0.1514,0.0787,0.1868,0.2865
s002,3,10,0.5473,0.184,0.0953,0.4133,0.3385,0.1737,0.1073,0.098,0.1497,0.2172
s002,3,11,0.1892,0.1458,0.1373,0.4468,0.3324,0.1668,0.1479,0.0829,0.1508,0.1989
s002,3,12,0.194,0.1357,0.1112,0.3713,0.3906,0.2096,0.1836,0.0753,0.1721,0.2361
s002,3,13,0.4918,0.278,0.1141,0.4972,0.3788,0.2893,0.2807,0.1423,0.1777,0.2514
s002,3,14,0.1736,0.1523,0.2281,0.6481,0.3648,0.2191,0.1819,0.0901,0.1724,0.2458
s002,3,15,0.1733,0.1734,0.1262,0.4315,0.3643,0.1561,0.1371,0.0766,0.19,0.3118
s002,3,16,0.1573,0.1782,0.1183,0.6568,0.3611,0.196,0.1485,0.0837,0.1764,0.2382
s002,3,17,0.1742,0.1657,0.1524,0.5732,0.3665,0.2254,0.2237,0.193,0.1879,0.2005
s002,3,18,0.091,0.1777,0.1086,0.5487,0.4298,0.1425,0.1711,0.0901,0.2001,0.4401
s002,3,19,0.196,0.1412,0.1202,0.4394,0.3933,0.1513,0.1508,0.1109,0.2167,0.2285
s002,3,20,0.1321,0.1568,0.1135,0.4473,0.5361,0.3242,0.3435,0.1708,0.1929,0.2546
s002,3,21,0.1554,0.2059,1.0162,0.7078,0.3577,0.1641,0.1294,0.0901,0.1758,0.2258
s002,3,22,0.1341,0.1684,0.4196,0.489,0.3624,0.1782,0.1331,0.0877,0.1689,0.206
s002,3,23,0.1483,0.1724,0.1486,0.7436,0.4723,0.1815,0.1307,0.1056,0.1898,0.2414
s002,3,24,0.6441,0.2526,0.1418,0.5032,0.331,0.1531,0.1331,0.0877,0.1888,0.2538
s002,3,25,0.156,0.1642,0.1753,0.4339,0.4076,0.1508,0.1276,0.1109,0.1937,0.2348
s002,3,26,0.1267,0.1708,0.0731,0.6838,0.4614,0.1482,0.1437,0.0824,0.1767,0.2306
s002,3,27,0.166,0.1117,0.117,0.4635,0.3677,0.1205,0.1529,0.0916,0.2099,0.2639
s002,3,28,0.1433,0.1672,0.1299,0.4851,0.3814,0.1276,0.1791,0.0835,0.2689,0.273
s002,3,29,0.1179,0.188,0.0423,0.6782,0.3923,0.1323,0.1822,0.127,0.2117,0.252
s002,3,30,0.1274,0.1927,0.1117,0.4132,0.4672,0.1932,0.1426,0.1545,0.2051,0.2414
s002,3,31,0.1353,0.1576,0.121,0.4954,0.4274,0.1722,0.1429,0.0776,0.2067,0.22
s002,3,32,0.1032,0.1875,0.0969,0.4275,0.4046,0.1086,0.1832,0.1043,0.1861,0.2021
s002,3,33,0.1992,0.1645,0.1278,0.6017,0.3651,0.2458,0.1358,0.1352,0.2014,0.2208
s002,3,34,0.1498,0.1513,0.0893,0.3992,0.8934,0.2545,0.1308,0.1226,0.1602,0.2467
s002,3,35,0.1179,0.156,0.0942,0.4206,0.3864,0.1622,0.1838,0.1193,0.23,0.2482
s002,3,36,0.1253,0.2138,0.081,0.5935,0.3754,0.1406,0.1661,0.1091,0.1463,0.2229
s002,3,37,0.1482,0.2635,0.1233,0.9131,0.3674,0.1629,0.1569,0.1114,0.1875,0.2801
s002,3,38,0.1284,0.2223,0.1666,0.3929,0.4324,0.324,0.1878,0.1613,0.1951,0.2205
s002,3,39,0.2377,0.1758,0.1331,0.4574,0.4042,0.1688,0.136,0.1017,0.193,0.2166
s002,3,40,0.1214,0.193,0.1122,0.5935,0.4947,0.2171,0.1429,0.1421,0.1885,0.2158
s002,3,41,0.2029,0.2196,0.2995,0.6294,0.363,0.2307,0.1806,0.1144,0.1916,0.2702
s002,3,42,0.1757,0.1903,0.1082,0.389,0.4218,0.1788,0.1339,0.1032,0.1711,0.2116
s002,3,43,0.1269,0.2059,0.127,0.4365,0.4376,0.1914,0.1402,0.1149,0.1688,0.2263
s002,3,44,0.1649,0.1851,0.1046,0.4418,0.4266,0.1772,0.1518,0.1101,0.1832,0.2419
s002,3,45,0.1659,0.2238,0.1549,0.5246,0.4039,0.2063,0.2007,0.1407,0.2096,0.2322
s002,3,46,0.17,0.2529,0.1869,0.5288,0.3427,0.1745,0.1564,0.0681,0.2027,0.2266
s002,3,47,0.1364,0.174,0.1122,0.3491,0.4,0.209,0.1487,0.099,0.1837,0.2087
s002,3,48,0.1536,0.1399,0.1373,0.3867,0.4551,0.2532,0.2231,0.1434,0.1919,0.2575
s002,3,49,0.1456,0.2066,0.1793,0.5283,0.3922,0.2017,0.1466,0.0998,0.1895,0.2285
s002,3,50,0.1345,0.165,0.1326,0.3956,0.4321,0.2049,0.156,0.1009,0.1896,0.2132
s002,4,1,0.1937,0.0859,0.1017,0.4745,0.3483,0.1935,0.1332,0.0885,0.1916,0.2203
s002,4,2,0.1622,0.123,0.1264,0.3953,0.3999,0.2513,0.1353,0.1035,0.1893,0.2034
s002,4,3,0.1622,0.1294,0.1309,0.4175,0.3822,0.1703,0.1234,0.0819,0.1671,0.2097
s002,4,4,0.158,0.1157,0.1449,0.4779,0.3608,0.1495,0.1622,0.0473,0.1961,0.2111
s002,4,5,0.1319,0.1397,0.0962,0.4222,0.42,0.2252,0.1323,0.0877,0.2027,0.2062
s002,4,6,0.1372,0.1141,0.1194,0.4462,0.3411,0.1434,0.1387,0.0336,0.2191,0.2557
s002,4,7,0.1607,0.1186,0.1215,0.4154,0.4102,0.2323,0.1659,0.0338,0.2706,0.2638
s002,4,8,0.1971,0.1099,0.1452,0.588,0.5678,0.2326,0.1835,0.0117,0.2247,0.2907
s002,4,9,0.1496,0.0834,0.1151,0.3356,0.3664,0.155,0.196,0.1386,0.2692,0.2532
s002,4,10,0.1179,0.1528,0.1138,0.4838,0.3461,0.1906,0.1479,0.1101,0.1755,0.2949
s002,4,11,0.1309,0.1413,0.118,0.6241,0.3907,0.2384,0.1627,0.0724,0.1846,0.2103
s002,4,12,0.172,0.1087,0.1106,0.4066,0.4395,0.1848,0.1577,0.0565,0.2589,0.2582
s002,4,13,0.0907,0.1586,0.093,0.4371,0.4134,0.1383,0.1946,0.0579,0.2447,0.2295
s002,4,14,0.1094,0.1671,0.0679,0.569,0.383,0.1418,0.193,0.1878,0.2088,0.2047
s002,4,15,0.1153,0.1243,0.1169,0.4321,0.3281,0.1297,0.2131,0.1732,0.2299,0.2226
s002,4,16,0.1216,0.1732,0.0903,0.5048,0.3147,0.1513,0.1844,0.1331,0.2079,0.2261
s002,4,17,0.114,0.1835,0.0879,0.4594,0.3493,0.1623,0.1667,0.1386,0.2003,0.2189
s002,4,18,0.0714,0.2537,0.104,0.4568,0.3989,0.2383,0.1743,0.1498,0.209,0.1936
s002,4,19,0.1623,0.1136,0.1291,0.39,0.3365,0.1701,0.1708,0.1141,0.2125,0.2385
s002,4,20,0.1598,0.1478,0.1322,0.4941,0.3247,0.1884,0.1299,0.0961,0.2015,0.211
s002,4,21,0.0733,0.1837,0.0748,0.3982,0.4205,0.1943,0.1345,0.1101,0.1957,0.2313
s002,4,22,0.0968,0.1927,0.1032,0.5001,0.3065,0.2036,0.1334,0.1035,0.1863,0.1994
s002,4,23,0.1219,0.1447,0.1088,0.3847,0.5492,0.241,0.1595,0.1138,0.1914,0.2079
s002,4,24,0.1126,0.1481,0.0727,0.3138,0.3485,0.1511,0.1637,0.0457,0.1919,0.1778
s002,4,25,0.0664,0.1764,0.0808,0.328,0.4184,0.1479,0.1606,0.1748,0.2222,0.2356
s002,4,26,0.1053,0.1465,0.0428,0.4784,0.3429,0.1384,0.141,0.1022,0.2043,0.2404
s002,4,27,0.1034,0.1452,0.0861,0.3856,0.3184,0.1347,0.1458,0.0708,0.5845,0.3316
s002,4,28,0.0823,0.208,0.0536,0.4938,0.3906,0.1938,0.1408,0.1273,0.2051,0.2282
s002,4,29,0.1942,0.1431,0.1328,0.5019,0.3181,0.151,0.1297,0.0758,0.2091,0.2509
s002,4,30,0.1089,0.1542,0.0687,0.5755,0.3583,0.1545,0.1355,0.1523,0.2122,0.2287
s002,4,31,0.0857,0.2017,0.0885,0.4977,0.3759,0.1497,0.1432,0.1405,0.2082,0.2208
s002,4,32,0.0949,0.1719,0.0613,0.444,0.348,0.1276,0.1543,0.1191,0.1969,0.2293
s002,4,33,0.1011,0.2143,0.0737,0.6341,0.3611,0.1411,0.117,0.1215,0.1847,0.2474
s002,4,34,0.1298,0.1679,0.102,0.351,0.3804,0.1856,0.1408,0.1281,0.1929,0.215
s002,4,35,0.1005,0.1655,0.0821,0.3331,0.3355,0.1626,0.1384,0.117,0.2043,0.2261
s002,4,36,0.1148,0.1715,0.0993,0.3386,0.406,0.1693,0.1439,0.1167,0.2029,0.2237
s002,4,37,0.1752,0.1426,0.1223,0.3046,0.4004,0.177,0.1872,0.1048,0.1782,0.2103
s002,4,38,0.1401,0.1354,0.1299,0.3996,0.3514,0.1233,0.1477,0.0581,0.202,0.2121
s002,4,39,0.1256,0.1555,0.1169,0.4267,0.4303,0.1777,0.126,0.0877,0.1783,0.2011
s002,4,40,0.1435,0.1431,0.1692,0.4196,0.3833,0.1297,0.1872,0.1299,0.209,0.2189
s002,4,41,0.1284,0.1614,0.1001,0.308,0.3627,0.1489,0.1398,0.1519,0.1903,0.1952
s002,4,42,0.1974,0.1349,0.1357,0.4764,0.3033,0.1378,0.1384,0.0874,0.1842,0.1859
s002,4,43,0.1306,0.1333,0.1112,0.2752,0.4141,0.2363,0.1619,0.1294,0.1771,0.2124
s002,4,44,0.1607,0.1375,0.1164,0.2721,0.3588,0.1658,0.1519,0.1302,0.2017,0.2557
s002,4,45,0.1378,0.1534,0.1046,0.2439,0.4345,0.8118,0.1558,0.0927,0.1874,0.219
s002,4,46,0.1422,0.1397,0.1431,0.3494,0.3675,0.1577,0.1223,0.0974,0.1922,0.2007
s002,4,47,0.1259,0.1515,0.1017,0.2333,0.878,0.2555,0.1366,0.1175,0.1745,0.1997
s002,4,48,0.1346,0.1397,0.1336,0.2496,0.8779,0.1542,0.1561,0.093,0.2061,0.2153
s002,4,49,0.1465,0.1391,0.1122,0.2241,0.6899,0.2305,0.1405,0.0816,0.1716,0.1981
s002,4,50,0.1459,0.1404,0.1235,0.2621,0.4604,0.2296,0.1859,0.108,0.2391,0.248
s002,5,1,0.182,0.0917,0.107,0.4209,0.3229,0.1814,0.0788,0.1167,0.1629,0.1865
s002,5,2,0.1514,0.113,0.1114,0.3386,0.3228,0.1637,0.0927,0.0919,0.1555,0.1907
s002,5,3,0.1198,0.1231,0.1159,0.4526,1.1874,0.1444,0.1041,0.0455,0.1587,0.1651
s002,5,4,0.1282,0.1083,0.1175,0.3161,0.316,0.1737,0.1062,0.06,0.1748,0.1831
s002,5,5,0.1438,0.1117,0.0975,0.3434,0.315,0.1917,0.0994,0.0703,0.1774,0.1931
s002,5,6,0.1391,0.1219,0.1027,0.4547,0.3353,0.1476,0.1334,0.0565,0.1659,0.1754
s002,5,7,0.1524,0.1157,0.1019,0.3998,0.3392,0.1767,0.1099,0.0858,0.1686,0.1876
s002,5,8,0.1427,0.1167,0.1328,0.2755,0.3559,0.1705,0.1321,0.0444,0.1835,0.1688
s002,5,9,0.129,0.1312,0.1215,0.404,0.3353,0.1434,0.1582,0.0251,0.2075,0.2089
s002,5,10,0.1797,0.057,0.1441,0.3871,0.3369,0.1566,0.1693,0.0154,0.2043,0.2116
s002,5,11,0.1029,0.1438,0.0964,0.2787,0.3962,0.1763,0.1117,0.0674,0.1687,0.1767
s002,5,12,0.2143,0.1259,0.1144,0.7579,0.3398,0.2056,0.2041,0.0473,0.2378,0.2153
s002,5,13,0.3504,0.1344,0.1215,0.3573,0.4063,0.1571,0.1564,0.0265,0.184,0.2034
s002,5,14,0.1089,0.1037,0.0975,0.2112,0.4434,0.1751,0.1431,0.0188,0.1856,0.2218
s002,5,15,0.1593,0.1064,0.0898,0.5893,0.3398,0.1555,0.1529,0.0592,0.235,0.191
s002,5,16,0.0852,0.1516,0.0729,0.4766,0.3321,0.1881,0.1481,0.0507,0.1856,0.1966
s002,5,17,0.1151,0.1257,0.0892,0.27,0.6561,0.1358,0.1284,0.0674,0.1909,0.2134
s002,5,18,0.1522,0.1465,0.1581,0.5383,0.3754,0.1348,0.1524,0.0478,0.2111,0.1662
s002,5,19,0.0572,0.1829,0.0404,0.4843,0.4062,0.2116,0.1363,0.1167,0.1842,0.1847
s002,5,20,0.054,0.1975,0.0581,0.2957,0.5366,0.1618,0.1693,0.0357,0.7472,0.2316
s002,5,21,0.1129,0.1331,0.0787,0.5064,0.3298,0.1684,0.1922,0.1281,0.1998,0.2297
s002,5,22,0.1196,0.1276,0.0744,0.2232,0.3942,0.2442,0.2851,0.1415,0.1829,0.1915
s002,5,23,0.1121,0.1405,0.0819,0.2186,0.4395,0.193,0.1368,0.0898,0.1889,0.2087
s002,5,24,0.1279,0.1035,0.0985,0.2244,0.6485,0.1313,0.1574,0.0367,0.2165,0.3074
s002,5,25,0.148,0.1233,0.1402,0.3964,0.3582,0.1471,0.183,0.0069,0.6249,0.2221
s002,5,26,0.1369,0.1291,0.0578,0.4452,0.3727,0.1544,0.1793,0.2012,0.2137,0.6953
s002,5,27,0.1378,0.1096,0.1136,0.3529,0.365,0.1236,0.1693,0.0964,0.1919,0.1984
s002,5,28,0.1077,0.1344,0.0758,0.2191,0.6979,0.1371,0.1498,0.1806,0.2054,0.1863
s002,5,29,0.1322,0.1217,0.0837,0.3782,0.3455,0.1067,0.1838,0.1547,0.1924,0.1767
s002,5,30,0.1704,0.0882,0.4671,0.5309,0.468,0.1513,0.1099,0.089,0.1821,0.2055
s002,5,31,0.1507,0.1241,0.1048,0.3671,0.3598,0.1096,0.1569,0.0858,0.1711,0.187
s002,5,32,0.1216,0.1402,0.0927,0.5627,0.3374,0.1014,0.1723,0.1259,0.2088,0.2194
s002,5,33,0.0957,0.1637,0.0483,0.2199,0.448,0.2266,0.1076,0.1471,0.1782,0.2055
s002,5,34,0.1562,0.1202,0.1312,0.6555,0.5136,0.2308,0.1274,0.1395,0.1858,0.3469
s002,5,35,0.153,0.132,0.1186,0.4758,0.3403,0.1289,0.1696,0.1178,0.1937,0.219
s002,5,36,0.1153,0.1563,0.0737,0.4565,0.3627,0.1632,0.1513,0.1165,0.2022,0.2617
s002,5,37,0.1396,0.1423,0.0835,0.4713,0.3168,0.1637,0.155,0.0922,0.2105,0.2182
s002,5,38,0.1021,0.1687,0.0853,0.247,0.4121,0.2149,0.1291,0.1054,0.1883,0.2245
s002,5,39,0.1058,0.1835,0.0589,0.4507,0.3442,0.1568,0.1574,0.1152,0.1848,0.1957
s002,5,40,0.1085,0.1631,0.1141,0.2922,0.4218,0.1534,0.1389,0.1069,0.1777,0.2177
s002,5,41,0.1306,0.1307,0.1352,0.3795,0.3318,0.131,0.1281,0.0784,0.1848,0.1994
s002,5,42,0.2221,0.1378,0.1584,0.2822,0.383,0.146,0.146,0.1133,0.1737,0.21
s002,5,43,0.1981,0.1492,0.0695,0.5112,0.3229,0.1616,0.1489,0.0668,0.183,0.196
s002,5,44,0.0736,0.1967,0.0204,0.4938,0.3986,0.1116,0.1481,0.0761,0.174,0.1865
s002,5,45,0.1185,0.1484,0.0759,0.2669,0.6846,0.1304,0.174,0.1265,0.1798,0.2023
s002,5,46,0.0973,0.4157,0.1824,0.3462,0.9368,0.2255,0.1569,0.1072,0.174,0.1947
